English,Greek,German
you,εσείς,Du
I,Εγώ,ICH
to,προς την,Zu
the,ο,Die
a ,ένα,A
and,και,Und
that,ότι,Das
it,το,Es
of,του,von
me,μου,Mich
what,τι,Was
is,είναι,Ist
in,σε,In
this,Αυτό,Das
know,ξέρω,wissen
I'm,Είμαι,Ich bin
for,Για,für
no,όχι,NEIN
have,έχω,haben
my,μου,Mein
don't,όχι,nicht
just,μόλις,Nur
not,δεν,nicht
do,κάνω,Tun
be,είναι,Sei
on,επί,An
your,τα δικα σου,dein
was,ήταν,War
we,εμείς,Wir
it's,του,es ist
with,με,mit
so,Έτσι,So
but,αλλά,Aber
all,όλα,alle
well,Καλά,Also
are,είναι,Sind
he,αυτός,Er
oh,ω,Oh
about,σχετικά με,um
right,σωστά,Rechts
you're,είσαι,du bist
get,παίρνω,erhalten
here,εδώ,Hier
out,έξω,aus
going,μετάβαση,gehen
like,αρέσει,wie
yeah,ναι,Ja
if,αν,Wenn
her,αυτήν,ihr
she,αυτή,sie
can,μπορώ,dürfen
up,πάνω,hoch
want,θέλω,wollen
think,νομίζω,denken
that's,αυτό είναι,das ist
now,τώρα,Jetzt
go,πηγαίνω,gehen
him,αυτόν,ihn
at,στο,bei
how,πως,Wie
got,πήρα,bekommen
there,εκεί,Dort
one,ένας,eins
did,διεφέρα,tat
why,Γιατί,Warum
see,βλέπω,sehen
come,Έλα,kommen
good,Καλός,Gut
they,αυτοί,Sie
really,Πραγματικά,Wirklich
as,όπως και,als
would,θα,würde
look,Κοίτα,sehen
when,πότε,Wenn
time,χρόνος,Zeit
will,θα,Wille
okay,εντάξει,Okay
back,πίσω,zurück
can't,κλίση,kippen
mean,σημαίνω,bedeuten
tell,λέγω,erzählen
I'll,Εγώ θα,Krank
from,από,aus
hey,γειανός,Hey
were,ήταν,war
he's,αυτός είναι,er ist
could,θα μπορούσε,könnte
didn't,όχι,nicht
yes,Ναί,Ja
his,του,sein
been,ήταν,gewesen
or,ή,oder
something,κάτι,etwas
who,ΠΟΥ,WHO
because,επειδή,Weil
some,μερικοί,manche
had,είχα,hatte
then,έπειτα,Dann
say,λένε,sagen
ok,Εντάξει,OK
take,παίρνω,nehmen
an,ένα,ein
way,τρόπος,Weg
us,μας,uns
little,λίγο,wenig
make,"φτιαχνω, κανω",machen
need,χρειάζομαι,brauchen
gonna,θα,wird
never,ποτέ,niemals
we're,είμαστε,war
too,πολύ,zu
love,αγάπη,Liebe
she's,αυτή είναι,sie ist
I've,Εγώ έχω,Ich habe
sure,σίγουρος,Sicher
them,τους,ihnen
more,περισσότερο,mehr
over,πάνω από,über
our,μας,unser
sorry,συγνώμη,Verzeihung
where,που,Wo
what's,τι,Was ist
let,αφήνω,lassen
thing,πράγμα,Ding
am,είμαι,Bin
maybe,μπορεί,Vielleicht
down,κάτω,runter
man,άνδρας,Mann
has,έχω,hat
uh,εχ.,äh
very,πολύ,sehr
by,με,von
there's,υπάρχει,Es gibt
should,πρέπει,sollen
anything,Οτιδήποτε,irgendetwas
said,είπε,genannt
much,πολύ,viel
any,όποιος,beliebig
life,ΖΩΗ,Leben
even,ακόμη και,selbst
off,μακριά από,aus
please,σας παρακαλούμε,Bitte
doing,πράξη,tun
thank,ευχαριστώ,Dank
give,δίνω,geben
only,μόνο,nur
thought,σκέψη,Gedanke
help,βοήθεια,Hilfe
two,δύο,zwei
talk,ΜΙΛΑ ρε,sprechen
people,Ανθρωποι,Menschen
god,θεός,Gott
still,ακόμη,still
wait,Περίμενε,Warten
into,σε,hinein
find,εύρημα,finden
nothing,τίποτα,Nichts
again,πάλι,nochmal
things,πράγματα,Dinge
let's,ας,Lasst uns
doesn't,δεν είναι,nicht
call,κλήση,Forderung
told,ερεθής,erzählt
great,εξαιρετική,Großartig
before,πριν,Vor
better,καλύτερα,besser
ever,πάντα,immer
night,Νύχτα,Nacht
than,από,als
away,Μακριά,weg
first,πρώτα,Erste
believe,πιστεύω,glauben
other,άλλα,andere
feel,αφή,fühlen
everything,τα παντα,alles
work,δουλειά,arbeiten
you've,έχεις,du hast
fine,πρόστιμο,Bußgeld
home,Σπίτι,heim
after,μετά,nach
last,τελευταίος,zuletzt
these,αυτά τα,diese
day,ημέρα,Tag
keep,διατήρηση,halten
does,κάνει,tut
put,βάζω,setzen
around,περίπου,um
stop,να σταματήσει,stoppen
they're,είναι,Sie sind
I'd,Ταυτότητα,Ausweis
guy,ο τύπος,Kerl
long,μακρύς,lang
isn't,δεν είναι,nicht
always,πάντα,stets
listen,ακούω,Hören
wanted,καταζητούμενος,gesucht
Mr .,Κύριος .,Herr .
guys,παιδιά,Leute
huh,εμένα,Huh
those,εκείνοι,diese
big,μεγάλο,groß
lot,παρτίδα,viel
happened,συνέβη,passiert
thanks,ευχαριστώ,Danke
won't,συνηθισμένος,Gewohnheit
trying,προσπαθεί,versuchen
kind,είδος,Art
wrong,λανθασμένος,falsch
through,διά μέσου,durch
talking,ομιλία,sprechen
made,έκανε,gemacht
new,νέος,neu
being,να εισαι,Sein
guess,εικασία,erraten
hi,γεια,Hi
care,Φροντίδα,Pflege
bad,κακό,schlecht
mom,μαμά,Mutter
remember,θυμάμαι,erinnern
getting,λυγίζω,bekommen
we'll,Καλά,Also
together,μαζί,zusammen
dad,Μπαμπάς,Papa
leave,άδεια,verlassen
mother,μητέρα,Mutter
place,θέση,Ort
understand,καταλαβαίνουν,verstehen
wouldn't,δεν θα,würde nicht
actually,πράγματι,Genau genommen
hear,ακούω,hören
baby,μωρό,Baby
nice,όμορφη,Hübsch
father,πατέρας,Vater
else,αλλού,anders
stay,διαμονή,bleiben
done,Έγινε,Erledigt
wasn't,δεν ήταν,war nicht
their,δικα τους,ihre
course,σειρά μαθημάτων,Kurs
might,θα μπορούσε,könnte
mind,μυαλό,Geist
every,κάθε,jeden
enough,αρκετά,genug
try,δοκιμάστε,versuchen
hell,κόλαση,Hölle
came,ήρθε,kam
someone,κάποιος,jemand
you'll,εσύ,du wirst
own,τα δικά,eigen
family,οικογένεια,Familie
whole,ολόκληρος,ganz
another,αλλο,andere
house,σπίτι,Haus
yourself,ο ίδιος,du selbst
idea,ιδέα,Idee
ask,παρακαλώ,fragen
best,καλύτερος,am besten
must,πρέπει,muss
coming,ερχομός,Kommen
old,παλαιός,alt
looking,κοιτάζοντας,aussehen
woman,γυναίκα,Frau
hello,Γειά σου,Hallo
which,οι οποίες,welche
years,έτη,Jahre
room,δωμάτιο,Zimmer
money,χρήματα,Geld
left,αριστερά,links
knew,ενδεχομένως,wusste
tonight,απόψε,heute Abend
real,πραγματικός,real
son,υιός,Sohn
hope,Ελπίζω,Hoffnung
name,όνομα,Name
same,ίδιο,Dasselbe
went,πήγε,ging
um,εμείς,Äh
hmm,χμμ,Hmm
happy,ευτυχισμένος,Glücklich
pretty,αρκετά,hübsch
saw,είδε,gesehen
girl,κορίτσι,Mädchen
sir,Κύριε,Herr
show,προβολή,zeigen
friend,φίλος,Freund
already,ήδη,bereits
saying,ρητό,Sprichwort
May,Ενδέχεται,Dürfen
next,Επόμενο,nächste
three,τρία,drei
job,δουλειά,Arbeit
problem,πρόβλημα,Problem
minute,λεπτό,Minute
found,βρέθηκαν,gefunden
world,κόσμος,Welt
thinking,σκέψη,Denken
haven't,δεν είναι,nicht
heard,ακούστηκε,gehört
honey,μέλι,Honig
matter,ύλη,Gegenstand
myself,εγώ ο ίδιος,ich selbst
couldn't,δεν μπορούσε,konnte nicht
exactly,ακριβώς,Exakt
having,έχοντας,haben
ah,αχ,Ah
probably,πιθανώς,wahrscheinlich
happen,συμβεί,passieren
we've,έχουμε,wir haben
hurt,πλήγμα,schmerzen
boy,αγόρι,Junge
both,και τα δυο,beide
while,ενώ,während
dead,νεκρός,tot
gotta,πρέπει,muss
alone,μόνος,allein
since,Από,seit
excuse,δικαιολογία,Ausrede
start,αρχή,Start
kill,σκοτώνω,töten
hard,σκληρά,hart
you'd,θα,du würdest
today,σήμερα,Heute
car,αυτοκίνητο,Auto
ready,έτοιμος,bereit
until,μέχρι,bis
without,χωρίς,ohne
whatever,οτιδήποτε,was auch immer
wants,θέλεις,will
hold,Κρατήστε,halten
wanna,Θέλω,will
yet,Ακόμη,noch
seen,προειδοποιητικός,gesehen
deal,συμφωνία,handeln
took,πήρα,nahm
once,μια φορά,einmal
gone,χαμένος,gegangen
called,που ονομάζεται,genannt
morning,πρωί,Morgen
supposed,υποτιθεμένος,angeblich
friends,οι φιλοι,Freunde
head,κεφάλι,Kopf
stuff,υλικό,Sachen
most,πλέον,am meisten
used,μεταχειρισμένος,gebraucht
worry,ανησυχία,Sorge
second,δεύτερος,zweite
part,μέρος,Teil
live,ζω,live
truth,αλήθεια,Wahrheit
school,σχολείο,Schule
face,πρόσωπο,Gesicht
forget,ξεχνάμε,vergessen
TRUE,ΑΛΗΘΗΣ,WAHR
business,επιχείρηση,Geschäft
each,καθε,jede
cause,αιτία,Ursache
soon,σύντομα,bald
knows,γνωρίζω,weiß
few,λίγοι,wenig
telling,αποτελεσματικός,erzählen
wife,γυναίκα,Gattin
who's,ποιος είναι,wer ist
use,χρήση,verwenden
chance,ευκαιρία,Chance
run,τρέξιμο,laufen
move,κίνηση,Umzug
anyone,ο καθενας,jeder
person,πρόσωπο,Person
bye,αντίο,Tschüss
,,#VALUE!
somebody,κάποιος,jemand
,,#VALUE!
heart,καρδιά,Herz
such,τέτοιος,solch
miss,δεσποινίδα,vermissen
married,παντρεμένος,verheiratet
point,σημείο,Punkt
later,αργότερα,später
making,κατασκευή,Herstellung
meet,συναντώ,treffen
anyway,ΤΕΛΟΣ παντων,Trotzdem
many,Πολλά,viele
phone,τηλέφωνο,Telefon
reason,λόγος,Grund
damn,δεκάρα,Verdammt
lost,χαμένος,verloren
looks,φαίνεται,sieht aus
bring,να φερεις,bringen
case,υπόθεση,Fall
turn,στροφή,drehen
wish,επιθυμία,Wunsch
tomorrow,αύριο,morgen
kids,παιδιά,Kinder
trust,εμπιστοσύνη,Vertrauen
check,έλεγχος,überprüfen
change,αλλαγή,ändern
end,τέλος,Ende
late,αργά,spät
anymore,πια,mehr
five,πέντε,fünf
least,ελάχιστα,am wenigsten
town,πόλη,Stadt
aren't,δεν είναι,nicht
ha,χα,Ha
working,εργαζόμενος,Arbeiten
year,έτος,Jahr
makes,κάνει,macht
taking,λήψη,Einnahme
means,που σημαίνει,bedeutet
brother,αδελφός,Bruder
play,παίζω,spielen
hate,μισώ,hassen
ago,πριν,vor
says,λέει,sagt
beautiful,πανεμορφη,Schön
gave,έδωσα,gab
fact,γεγονός,Tatsache
crazy,τρελός,verrückt
party,κόμμα,Party
sit,Καθίστε,sitzen
open,Άνοιξε,offen
afraid,φοβισμένος,besorgt
between,μεταξύ,zwischen
important,σπουδαίος,wichtig
rest,υπόλοιπο,ausruhen
fun,διασκέδαση,Spaß
kid,παιδί,Kind
word,λέξη,Wort
watch,παρακολουθώ,betrachten
glad,χαρούμενος,froh
everyone,Ολοι,alle
days,ημέρες,Tage
sister,αδελφή,Schwester
minutes,λεπτά,Protokoll
